File name,Topic,Question,Answer
L1-Beyond-AlexNet_V1.8-CNN,"CNN, Alex-Net",What are the primary improvements that VGGNet introduced over AlexNet?,"VGGNet introduced several improvements over AlexNet, including the use of smaller receptive fields throughout the network, such as 3x3 convolutional layers instead of the larger 5x5 used in AlexNet. This design choice allowed for increased non-linearity and reduced the number of parameters, making the network deeper and more efficient."
L1-Beyond-AlexNet_V1.8-CNN,"CNN, Alex-Net",How does GoogLeNet reduce the number of operations compared to traditional convolutional layers?,"GoogLeNet introduces the concept of a 1x1 convolutional layer, which acts as a bottleneck layer. This layer significantly reduces the number of operations required by first reducing the depth (number of channels) before applying larger convolutional filters, leading to a reduction from 120 million to 12.4 million operations in the example provided."
L1-Beyond-AlexNet_V1.8-CNN,"CNN, Alex-Net","What is the vanishing gradient problem, and how do ResNets address it?","The vanishing gradient problem occurs when gradients diminish as they are propagated backward through deep networks, making it difficult to train the earlier layers. ResNets address this issue by introducing skip connections, which allow gradients to flow directly through the network, thereby preventing them from vanishing and enabling the training of much deeper networks."
L1-Beyond-AlexNet_V1.8-CNN,"CNN, Alex-Net",What are the key factors to consider when choosing a CNN architecture for production?,"When choosing a CNN architecture for production, key factors include accuracy, model complexity, memory usage, computational complexity, and inference time. It's important to balance these factors according to specific production constraints and the desired performance metrics."
L1-Beyond-AlexNet_V1.8-CNN,"CNN, Alex-Net",What is the relationship between model complexity and memory usage in CNNs?,"There is generally a linear relationship between model complexity and memory usage in CNNs. As the complexity of the model increases, so does the amount of memory it requires, making it crucial to consider this trade-off when designing or selecting a network for a specific application."
L2-Beyond-BackProp_V1.8,Backptopagation,What are the challenges in finding the global minima during training of deep neural networks?,"The challenges in finding the global minima include encountering saddle points, where the gradient is a local minima in one direction and a local maxima in another, cliffs where the gradient is too high, and plateaus where the gradient is almost zero. Additionally, the vanishing gradient problem and exploding gradients can make it difficult to find the global minima."
L2-Beyond-BackProp_V1.8,Backptopagation,How does Gradient Descent with Momentum improve the optimization process in neural networks?,"Gradient Descent with Momentum improves the optimization process by accumulating momentum from previous gradients, which helps the optimizer to continue moving in the same direction even if the gradient is small. This helps the model to escape local minima and reach the global minima more efficiently by preventing the optimizer from getting stuck in shallow minima or saddle points."
L2-Beyond-BackProp_V1.8,Backptopagation,What is the purpose of learning rate scheduling in training neural networks?,"Learning rate scheduling is used to adjust the learning rate during training, typically by reducing it according to a predefined schedule. This helps in stabilizing the training process and allows the model to converge more effectively. Common learning rate schedules include step decay, exponential decay, cosine decay, and reducing the learning rate when the performance plateaus."
L2-Beyond-BackProp_V1.8,Backptopagation,What is the concept of Dropout as a regularization technique in neural networks?,"Dropout is a regularization technique where during each training iteration, individual neurons are randomly ""dropped out"" with a certain probability, meaning their contribution is ignored in both the forward and backward passes. This forces the network to learn more robust features, as it cannot rely on any particular neuron being present, which helps in preventing overfitting."
L2-Beyond-BackProp_V1.8,Backptopagation,How does weight initialization affect the training of deep neural networks?,"Proper weight initialization is crucial as it impacts the convergence of the training process. Poor initialization, such as setting all weights to zero, can lead to neurons learning the same features and hinder the learning process. Common strategies include random initialization using Gaussian distribution, Xavier initialization, and Kaiming initialization, which help in setting the initial weights such that they facilitate effective gradient flow during training."
PEFT-LoRa,PEFT-LoRa,How much GPU RAM is required to store a model with 1 billion parameters using 32-bit precision?,Storing a model with 1 billion parameters using 32-bit precision requires 4GB of GPU RAM. 
PEFT-LoRa,PEFT-LoRa,"What is the GPU RAM requirement for GPT-3, which has 175 billion parameters?  ",GPT-3 requires 700GB of GPU RAM just to store the model. 
PEFT-LoRa,PEFT-LoRa,What happens to storage requirements when converting to 16-bit (FP16) precision? ,"Converting to 16-bit (FP16) precision halves the storage requirements, reducing it to 2 bytes per parameter. "
PEFT-LoRa,PEFT-LoRa,What additional storage is needed when training a model beyond just the model parameters?   ,"Additional storage is needed to store optimizer states, gradients, activations, and temporary variables. "
PEFT-LoRa,PEFT-LoRa,What is Low-rank Adaptation (LoRA) in the context of model fine-tuning?   ,"Low-rank Adaptation (LoRA) involves decomposing the weight matrix into a product of two smaller matrices, typically aiming to reduce the rank of the attention weight matrices. "
PEFT-LoRa,PEFT-LoRa,What are the limitations of Parameter-Efficient Fine-Tuning (PEFT)? ,"PEFT struggles to match the performance of full fine-tuning, doesn’t make inference more efficient, doesn’t reduce the cost of storing large models, and requires full forward and backward passes. "
PEFT-LoRa,PEFT-LoRa,What is the purpose of scaling factor (??) in LoRA?,The scaling factor (??) is used to scale the low-rank matrices during the adaptation process in LoRA. 
PEFT-LoRa,PEFT-LoRa,What are the two matrices used in LoRA for weight matrix decomposition?  ,The two matrices used in LoRA are matrix ?? (?? ? ????×??) and matrix ?? (?? ? ????×??). 
PEFT-LoRa,PEFT-LoRa,What is an example of a task that a decoder-based language model would perform?  ,"An example is predicting the next token in a sequence based on previous tokens, such as predicting “dog” in the sequence “the quick brown fox jumps over the lazy ________”. "
PEFT-LoRa,PEFT-LoRa,What is a significant challenge mentioned in the document when using pure 16-bit floating-point neural networks?  ,"A challenge is the need for additional storage for optimizer states, gradients, and other variables during training, despite the reduced model storage from 16-bit precision. "
LangChain_RAG,LangChain & RAG,"What is RAG, and how does it work?","RAG (Retrieval-Augmented Generation) is a framework that retrieves relevant information from a knowledge base and then generates a response by combining this retrieved information with a prompt. It typically involves three steps: retrieval, augmentation, and generation?(LangChain_RAG)."
LangChain_RAG,LangChain & RAG,What is the purpose of LangChain?,"LangChain is an open-source framework designed for developing applications powered by Large Language Models (LLMs). It focuses on creating complex projects by composing modular components like document loaders, chains, agents, and more?(LangChain_RAG)."
LangChain_RAG,LangChain & RAG,What are the main components of LangChain?,"The main components of LangChain include models (LLMs, Chat Models, Text Embedding Models), prompts (Prompt Template, Output Parsers), chains (sequential or complex chains), agents (for tool interaction), and indexes (document loaders, text splitters, vector stores)?(LangChain_RAG)."
LangChain_RAG,LangChain & RAG,How does LangChain handle document loading?,"LangChain uses document loaders to load documents into its own Document object. These loaders might require additional libraries (e.g., pypdf for PDF loading). LangChain also supports integrations with third-party sources like Google Cloud and Wikipedia?(LangChain_RAG)."
LangChain_RAG,LangChain & RAG,What is a Prompt Template in LangChain?,A Prompt Template in LangChain is an abstraction that allows the reuse of well-structured prompts in sophisticated applications. It helps in managing and organizing prompts that might be long or detailed?(LangChain_RAG).
LangChain_RAG,LangChain & RAG,What is the role of agents in LangChain?,"Agents in LangChain are powerful components that use models, data connections, chains, and memory to perform tasks. They can interact with external tools, APIs, and data stores to reason through requests and take actions based on observational outputs?(LangChain_RAG)."
LangChain_RAG,LangChain & RAG,What is the Maximum Marginal Relevance (MMR) algorithm?,The Maximum Marginal Relevance (MMR) algorithm is used to choose the most relevant and diverse responses from a set of retrieved chunks. It helps in selecting the best information to augment the query?(LangChain_RAG).
LangChain_RAG,LangChain & RAG,What are some challenges LLMs face according to the document?,"LLMs face challenges like not being up-to-date, lacking domain-specific knowledge, and struggling with real-time information. They also have limitations in handling complex calculations and may produce hallucinations or plausible but incorrect information?(LangChain_RAG)."
LangChain_RAG,LangChain & RAG,How does LangChain address the limitations of LLMs?,"LangChain addresses LLM limitations by integrating them with other tools, allowing them to access real-time data, specialized knowledge, and perform specific tasks through the use of agents and external tools?(LangChain_RAG)."
LangChain_RAG,LangChain & RAG,What is the significance of iterative prompt development?,Iterative prompt development involves refining prompts based on analysis of the results. It is crucial for improving the accuracy and relevance of the outputs by making the model spend more computational effort on complex tasks
