,Q,A,unit
0,"What is Q-Learning, and how does it work?",Q-Learning is a model-free Reinforcement Learning algorithm used for solving Markov Decision Processes. It learns the quality (Q-value) of taking a particular action in a specific state and aims to maximize the expected cumulative reward. Q-Learning uses a Q-table to store these values and update them based on experience.,1
1,Are there ethical considerations regarding AI-ML avatars?,"Yes, concerns about data privacy, transparency, and the responsible use of AI arise when deploying AI-ML avatars, necessitating ethical guidelines.",1
2,Explain the workflow of building a machine learning model using Scikit-Learn.,"The process typically involves importing datasets, preprocessing data, selecting a model, training it with the data, evaluating its performance, and deploying it for predictions.",1
3,Can logistic regression be used for classes more than 2?,No logistic regression cannot be used for classes more than 2 as it is a binary classifier. For multi-class classification algorithms like Decision Trees Naïve Bayes’ Classifiers are better suited.,1
4,When does regularization come into play in Machine Learning?,At times when the model begins to underfit or overfit regularization becomes necessary. It is a regression that diverts or regularizes the coefficient estimates towards zero.,1
5,What does BLEU stands for and what is BLEU?,BLEU stands for Bilingual Evaluation Understudy and BLEU is a quantitative metric for measuring the quality of an output text based on multiple reference texts.,1
6,Is there a difference between underfitting and overfitting?,"Yes, underfitting occurs when a model is too simple to capture the underlying patterns in data, while overfitting occurs when a model is too complex and learns noise.",1
7,When should ridge regression be preferred over lasso?,We should use ridge regression when we want to use all predictors and not remove any as it reduces the coefficient values but does not nullify them.,1
8,What is the role of maximum likelihood in logistic regression.,Maximum likelihood equation helps in estimation of most probable values of the estimator’s predictor variable coefficients which produces results which are the most likely or most probable and are quite close to the truth values.,1
9,What are the strengths and weaknesses of the KNN algorithm?,KNN is robust to noisy data and easy to understand but can be computationally expensive with large datasets and struggles with high-dimensional data.,1
10,How can you detect overfitting in a Machine Learning model?,"Overfitting can be identified by observing a model's performance on a validation set; if it performs significantly worse than on the training set, overfitting might be present.",1
11,What is a false negative?,A test result which wrongly indicates that a particular condition or attribute is absent. Example – “it’s possible to have a false negative—the test says you aren’t pregnant when you are”.,1
12,What is Pandas Profiling?,Pandas profiling is a step to find the effective number of usable data. It gives us the statistics of NULL values and the usable values and thus makes variable selection and data selection for building models in the preprocessing phase very effective.,1
13,What are some common types of Ensemble Methods?,"Bagging (Bootstrap Aggregating), Boosting (like AdaBoost, Gradient Boosting), Stacking, and Random Forests are popular Ensemble Methods used in ML.",1
14,Why does XGBoost perform better than SVM?,XGBoos is an ensemble method that uses many trees to make a decision so it gains power by repeating itself.,1
15,What is a chi-square test?,A chi-square determines if a sample data matches a population. A chi-square test for independence compares two variables in a contingency table to see if they are related. A very small chi-square test statistics implies observed data fits the expected data extremely well.,1
16,What is the purpose of the sigmoid function in Logistic Regression?,"The sigmoid function converts the output of a linear equation into probabilities, mapping values to a range suitable for classification (0 to 1).",1
17,Define ROC curve,The graphical representation of the contrast between true positive rates and the false positive rate at various thresholds is known as the ROC curve. It is used as a proxy for the trade-off between true positives vs the false positives.,1
18,How does K-Means clustering determine cluster centroids?,"K-Means starts by randomly placing centroids, then assigns points to the nearest centroid, readjusts centroids based on the mean of points in clusters, and repeats until convergence.",1
19,How does the bias-variance tradeoff relate to model overfitting?,"Overfitting often results from having a low bias but high variance model, striking a balance between bias and variance is crucial to prevent overfitting.",1
20,How would you evaluate a logistic regression model?,A subsection of the question above. You have to demonstrate an understanding of what the typical goals of a logistic regression are (classification prediction etc.) and bring up a few examples and use cases.,1
21,In what industries are AI-ML avatars widely adopted?,"Industries such as customer service, healthcare, gaming, education, and entertainment embrace AI-ML avatars for various applications.",1
22,Differentiate between Statistical Modeling and Machine Learning?,Machine learning models are about making accurate predictions about the situations like Foot Fall in restaurants Stock-Price etc. where-as Statistical models are designed for inference about the relationships between variables as What drives the sales in a restaurant is it food or Ambience.,1
23,What is the difference between Policy and Value function in Reinforcement Learning?,"In Reinforcement Learning, a policy is a strategy that defines the agent's behavior, specifying which actions to take in different states. A value function, on the other hand, estimates the expected cumulative reward starting from a given state or state-action pair. Policies guide actions, while value functions help evaluate the desirability of states or state-action pairs.
",1
24,What is model overfitting in Machine Learning?,"Overfitting occurs when a model learns too much from the training data, capturing noise and specific patterns that do not generalize well to new, unseen data.",1
25,How does a Decision Tree make decisions?,It evaluates features at each node and makes splits to maximize information gain (or minimize impurity) until reaching leaf nodes with class labels or regression values.,1
26,What does Hierarchical Clustering achieve that K-Means doesn't?,Hierarchical Clustering doesn't require a predefined number of clusters; it builds a tree-like hierarchy (dendrogram) showing relationships between data points.,1
27,What are some strategies to prevent overfitting in models?,"Techniques include using more data, feature selection, cross-validation, early stopping, regularization, and ensembling methods.",1
28,How do you handle missing or corrupted data in a dataset?,You could find missing/corrupted data in a dataset and either drop those rows or columns or decide to replace them with another value.,1
29,What is Time series?,A Time series is a sequence of numerical data points in successive order. It tracks the movement of the chosen data points over a specified period of time and records the data points at regular intervals.,1
30,Explain the bias-variance tradeoff in Machine Learning.,"The bias-variance tradeoff balances a model's ability to learn complex patterns (low bias, high variance) versus generalizing well (high bias, low variance).",1
31,How does hyperparameter tuning impact Machine Learning models?,"Hyperparameter tuning optimizes model performance by adjusting parameters that govern model learning, influencing its behavior and accuracy.",1
32,How are probabilities computed in Logistic Regression?,"Logistic Regression calculates the probability of a binary outcome using the logistic function, which maps any input to a value between 0 and 1.",1
33,Can SVM handle imbalanced datasets?,SVM can be sensitive to imbalanced data and might require techniques like class weighting or modifying decision thresholds to address imbalance issues.,1
34,What is Bagging?,Bootstrap Aggregation or bagging is a method that is used to reduce the variance for algorithms having very high variance. Decision trees are a particular family of classifiers which are susceptible to having high bias.,1
35,"Explain the concept of ""Markov Property"" in Reinforcement Learning.","The Markov Property is a fundamental concept in Reinforcement Learning. It states that the future state of a system or environment depends only on its current state and the action taken, irrespective of the past states and actions. In other words, the Markov Property implies that the history of the system is encapsulated in its present state.",1
36,What is Marginalisation?,Marginalisation is summing the probability of a random variable X given joint probability distribution of X with other variables. It is an application of the law of total probability.,1
37,Is it possible to use KNN for image processing?,Yes it is possible to use KNN for image processing. It can be done by converting the 3-dimensional image into a single-dimensional vector and using the same as input to KNN.,1
38,What are the hyperparameters of an SVM?,The gamma value c value and the type of kernel are the hyperparameters of an SVM model.,1
39,What are Ensemble Methods in Machine Learning?,"Ensemble Methods combine multiple individual models to improve overall performance, robustness, and generalization of predictions compared to single models.",1
40,How does Bagging differ from Boosting in Ensemble Methods?,"Bagging builds multiple models independently and averages their predictions, while Boosting builds models sequentially, giving more weight to misclassified data points.",1
41,What are Support Vectors in SVMs?,"Support Vectors are the data points nearest to the hyperplane, the points of a data set that, if removed, would alter the position of the dividing hyperplane.",1
42,How is the performance of a Linear Regression model measured?,"Performance metrics like Mean Squared Error (MSE), R-squared value, and Root Mean Squared Error (RMSE) are commonly used to evaluate Linear Regression models.",1
43,Explain the concept of arrays in NumPy.,"Arrays in NumPy are multi-dimensional data structures that store values of the same data type, allowing efficient computation and manipulation.",1
44,How is KNN different from k-means clustering?,KNN needs labeled points and is thus supervised learning while k-means doesn’t—and is thus unsupervised learning.,1
45,"If the label has only two classes, what would be the classifier for learning algorithm?",Binary Classifiers can  classify only two classes.,1
46,What are some commonly used algorithms available in Scikit-Learn?,"Scikit-Learn offers implementations of algorithms like SVM (Support Vector Machines), Decision Trees, Random Forests, K-Means, and more.",1
47,Explain the concept of model interpretability in Machine Learning.,"Model interpretability refers to understanding and explaining how a model makes predictions, crucial for trust and understanding its decisions.",1
48,Why boosting is a more stable algorithm as compared to other ensemble algorithms?,Boosting focuses on errors found in previous iterations until they become obsolete. Whereas in bagging there is no corrective loop. This is why boosting is a more stable algorithm compared to other ensemble algorithms. ,1
49,What distinguishes Naive Bayes from other classification algorithms?,"Naive Bayes assumes independence among features, making it computationally efficient and effective for text classification tasks.",1
50,A decision tree is built in which of the following fashion?,A decision tree Algorithm is a type of supervised learning for classification problems.Classification is the process of dividing a data set into different categories or groups by adding a label(Ex-spam/no spam). Where the decision tree is built in the top down fashion,1
51,Which ensemble technique is used by gradient boosting trees?,Boosting is the technique used by GBM.,1
52,What are one-hot encoding and label encoding in Feature Engineering?,"One-hot encoding converts categorical variables into binary vectors, while label encoding assigns a unique integer to each category.",1
